date,department,total_beds,occupied_beds,occupancy_rate,admissions,discharges,avg_los,cost_per_day,alert,year_month
2023-01-01,ICU,20,19,94.5,2,2,7.0,4153,WARNING,2023-01
2023-01-01,ER,40,35,87.4,6,5,0.3,909,OK,2023-01
2023-01-01,Med-Surg,80,64,79.8,9,9,3.1,1455,OK,2023-01
2023-01-01,Surgery,30,21,71.6,3,3,3.3,2218,OK,2023-01
2023-01-01,Peds,25,16,64.4,3,3,2.2,1991,OK,2023-01
2023-01-02,ICU,20,20,100.0,2,3,5.9,4142,CRITICAL,2023-01
2023-01-02,ER,40,39,98.2,7,5,0.0,965,CRITICAL,2023-01
2023-01-02,Med-Surg,80,71,88.6,11,7,3.4,1839,OK,2023-01
2023-01-02,Surgery,30,25,84.6,4,4,3.6,2204,OK,2023-01
2023-01-02,Peds,25,17,68.6,3,4,3.1,1747,OK,2023-01
2023-01-03,ICU,20,20,100.0,3,2,6.5,4406,CRITICAL,2023-01
2023-01-03,ER,40,40,100.0,5,5,0.7,995,CRITICAL,2023-01
2023-01-03,Med-Surg,80,73,90.7,11,8,3.5,1963,WARNING,2023-01
2023-01-03,Surgery,30,26,86.2,4,4,4.0,2371,OK,2023-01
2023-01-03,Peds,25,18,70.9,4,3,3.7,1576,OK,2023-01
2023-01-04,ICU,20,20,100.0,3,2,6.2,3802,CRITICAL,2023-01
2023-01-04,ER,40,40,99.4,6,6,0.2,638,CRITICAL,2023-01
2023-01-04,Med-Surg,80,72,90.6,13,11,3.8,1903,WARNING,2023-01
2023-01-04,Surgery,30,25,83.0,5,3,3.6,2422,OK,2023-01
2023-01-04,Peds,25,17,67.1,4,3,2.9,2053,OK,2023-01
2023-01-05,ICU,20,20,100.0,3,2,5.8,4168,CRITICAL,2023-01
2023-01-05,ER,40,40,100.0,7,5,0.6,785,CRITICAL,2023-01
2023-01-05,Med-Surg,80,69,86.7,11,10,5.3,1762,OK,2023-01
2023-01-05,Surgery,30,25,83.5,4,3,4.4,2650,OK,2023-01
2023-01-05,Peds,25,18,71.8,3,4,2.2,2217,OK,2023-01
2023-01-06,ICU,20,20,100.0,2,2,6.2,4099,CRITICAL,2023-01
2023-01-06,ER,40,38,95.4,6,4,0.7,616,CRITICAL,2023-01
2023-01-06,Med-Surg,80,77,96.3,10,10,4.5,1554,CRITICAL,2023-01
2023-01-06,Surgery,30,25,83.4,5,3,3.9,2552,OK,2023-01
2023-01-06,Peds,25,18,71.8,3,3,3.2,2159,OK,2023-01
2023-01-07,ICU,20,19,93.8,3,2,6.3,4259,WARNING,2023-01
2023-01-07,ER,40,34,86.2,6,5,0.1,931,OK,2023-01
2023-01-07,Med-Surg,80,63,78.6,11,10,3.7,1993,OK,2023-01
2023-01-07,Surgery,30,22,73.8,4,4,3.7,2349,OK,2023-01
2023-01-07,Peds,25,15,60.1,3,3,3.1,2155,OK,2023-01
2023-01-08,ICU,20,19,95.4,2,3,6.1,4744,CRITICAL,2023-01
2023-01-08,ER,40,36,89.7,4,4,0.7,755,OK,2023-01
2023-01-08,Med-Surg,80,66,82.7,10,9,3.7,1497,OK,2023-01
2023-01-08,Surgery,30,22,71.9,4,3,3.2,2535,OK,2023-01
2023-01-08,Peds,25,16,62.4,3,3,2.9,1871,OK,2023-01
2023-01-09,ICU,20,20,100.0,3,3,6.7,3924,CRITICAL,2023-01
2023-01-09,ER,40,39,97.2,6,5,0.8,1571,CRITICAL,2023-01
